user_id,total_transactions,total_quantity,avg_rating_given,std_rating_given,unique_products_bought,avg_quantity_per_txn,first_purchase,last_purchase,days_since_last_purchase,purchase_frequency,total_events,total_sessions,avg_page_duration,unique_products_viewed,cart_adds,searches,engagement_score,age,gender_encoded,location_encoded,is_premium,age_normalized,days_since_signup,conversion_rate
U0011,11,28.0,4.181818181818182,0.873862897505303,10,2.5454545454545454,2024-01-07 00:43:00,2024-12-26 21:59:00,570,0.9295774647887324,27,27,30.22222222222222,25,3,3,22.766666666666666,28,0,6,False,0.217391304347826,568,0.4
U0012,13,37.0,3.769230769230769,0.4385290096535146,12,2.8461538461538463,2024-02-13 07:05:00,2024-10-31 15:36:00,627,1.4885496183206108,23,23,26.73913043478261,22,3,2,19.921739130434784,41,1,1,False,0.5,1195,0.5454545454545454
U0013,11,24.0,3.1818181818181817,0.9816498172140428,11,2.1818181818181817,2024-01-18 09:41:00,2024-12-10 01:14:00,587,1.0091743119266054,33,33,28.57575757575757,31,8,6,26.272727272727277,53,0,7,True,0.7608695652173914,872,0.3548387096774194
U0014,8,20.0,3.625,0.7440238091428449,8,2.5,2024-01-20 04:10:00,2024-12-28 23:33:00,568,0.6976744186046512,25,25,37.0,22,4,5,23.800000000000004,57,0,7,False,0.8478260869565217,905,0.3636363636363636
U0015,6,16.0,3.5,0.8366600265340756,6,2.6666666666666665,2024-01-07 03:51:00,2024-07-19 12:16:00,731,0.9230769230769232,31,31,34.03225806451613,31,3,2,26.30967741935484,41,1,1,True,0.5,1083,0.1935483870967742
U0016,7,17.0,4.142857142857143,0.8997354108424372,7,2.4285714285714284,2024-03-10 02:04:00,2024-11-28 03:25:00,599,0.7954545454545454,20,20,33.65,19,4,1,20.695,20,0,3,False,0.0434782608695652,606,0.3684210526315789
U0017,4,7.0,3.5,1.0,4,1.75,2024-04-26 14:58:00,2024-12-27 04:44:00,570,0.489795918367347,26,26,25.923076923076923,25,4,4,21.37692307692308,39,1,8,False,0.4565217391304347,1209,0.16
U0018,20,52.0,3.2,1.1964860832322377,20,2.6,2024-02-13 05:18:00,2024-12-21 06:31:00,576,1.9169329073482428,24,24,29.08333333333333,23,4,2,21.325,19,0,6,False,0.0217391304347826,744,0.8695652173913043
U0019,11,33.0,4.2727272727272725,0.6466697906828635,11,3.0,2024-01-07 10:46:00,2024-12-09 00:33:00,588,0.9792284866468844,22,22,23.90909090909091,18,2,2,17.772727272727273,41,0,6,False,0.5,896,0.6111111111111112
U0020,11,37.0,3.8181818181818175,0.873862897505303,11,3.363636363636364,2024-01-04 07:56:00,2024-12-23 21:40:00,573,0.9295774647887324,39,39,36.256410256410255,36,4,3,30.576923076923077,61,1,3,True,0.9347826086956522,709,0.3055555555555556
U0021,8,19.0,2.875,1.2464234547582247,8,2.375,2024-01-31 17:39:00,2024-12-01 03:16:00,596,0.7868852459016394,27,27,22.74074074074074,25,5,3,20.92222222222222,47,1,6,False,0.6304347826086957,1251,0.32
U0022,12,23.0,3.75,0.7537783614444091,12,1.9166666666666667,2024-03-26 23:03:00,2024-12-12 07:19:00,585,1.3793103448275863,34,34,22.41176470588235,31,2,5,23.523529411764702,55,1,0,False,0.8043478260869565,625,0.3870967741935484
U0023,11,25.0,3.272727272727273,1.3483997249264843,11,2.272727272727273,2024-01-18 08:26:00,2024-12-08 09:13:00,589,1.012269938650307,29,29,35.10344827586207,28,5,4,25.83103448275862,19,1,8,False,0.0217391304347826,834,0.3928571428571428
U0024,6,19.0,3.1666666666666665,1.1690451944500122,6,3.1666666666666665,2024-01-02 01:08:00,2024-07-16 06:02:00,734,0.9137055837563453,38,37,29.13157894736842,35,6,7,28.339473684210528,38,1,5,False,0.4347826086956521,705,0.1714285714285714
U0025,11,24.0,3.727272727272727,0.9045340337332908,10,2.1818181818181817,2024-01-07 12:39:00,2024-12-10 18:52:00,587,0.9734513274336284,32,32,33.40625,30,9,5,27.421875,50,0,6,False,0.6956521739130435,987,0.3333333333333333
U0026,13,30.0,3.5384615384615383,1.0500305245868344,12,2.3076923076923075,2024-01-03 15:57:00,2024-09-17 17:47:00,671,1.505791505791506,37,37,26.16216216216216,32,8,5,26.94864864864865,29,0,1,True,0.2391304347826087,1211,0.375
U0027,10,24.0,3.6,1.3498971154211057,10,2.4,2024-02-26 04:27:00,2024-12-24 07:09:00,573,0.99009900990099,34,34,24.676470588235293,29,3,3,24.00294117647059,39,1,0,True,0.4565217391304347,1205,0.3448275862068966
U0028,12,35.0,3.75,1.2154310870109943,12,2.9166666666666665,2024-01-03 11:08:00,2024-12-06 12:58:00,591,1.0619469026548671,35,35,28.685714285714287,33,5,1,26.705714285714286,61,1,6,True,0.9347826086956522,637,0.3636363636363636
U0029,13,36.0,4.230769230769231,0.8320502943378436,13,2.769230769230769,2024-02-14 09:14:00,2024-12-28 03:38:00,569,1.2264150943396226,35,34,34.114285714285714,31,3,3,27.534285714285712,42,2,0,False,0.5217391304347826,624,0.4193548387096774
U0030,9,21.0,3.4444444444444446,1.3333333333333333,9,2.333333333333333,2024-01-26 18:59:00,2024-12-26 23:29:00,570,0.8035714285714286,31,31,26.096774193548388,30,10,4,25.12903225806452,44,0,9,False,0.5652173913043478,583,0.3
U0031,10,28.0,3.6,1.07496769977314,9,2.8,2024-01-01 13:14:00,2024-10-26 01:28:00,632,1.0033444816053512,23,23,29.65217391304348,22,2,1,20.59565217391304,59,0,5,False,0.8913043478260869,1055,0.4090909090909091
U0032,18,47.0,3.8333333333333335,0.985184366143778,17,2.611111111111111,2024-01-13 14:45:00,2024-12-20 10:51:00,577,1.5789473684210529,28,28,30.714285714285715,26,3,4,23.414285714285715,45,1,4,False,0.5869565217391305,1295,0.6538461538461539
U0033,8,20.0,4.125,0.8345229603962804,8,2.5,2024-02-29 03:22:00,2024-12-04 08:06:00,593,0.8571428571428571,40,40,27.9,38,11,3,30.17,33,0,1,False,0.3260869565217391,1072,0.2105263157894736
U0034,8,21.0,3.375,1.3024701806293193,7,2.625,2024-01-21 00:45:00,2024-08-22 23:08:00,696,1.1162790697674418,31,30,36.61290322580645,28,4,5,26.68387096774193,32,2,1,False,0.3043478260869565,708,0.25
U0035,10,23.0,3.4,0.6992058987801011,9,2.3,2024-01-20 07:55:00,2024-11-29 19:50:00,598,0.9523809523809524,27,27,21.22222222222222,23,4,3,19.866666666666667,64,1,8,False,1.0,1181,0.391304347826087
U0036,9,23.0,3.7777777777777777,1.092906420717,9,2.555555555555556,2024-02-14 01:27:00,2024-12-04 19:56:00,593,0.9152542372881356,23,22,28.91304347826087,22,4,1,20.77391304347826,61,0,0,False,0.9347826086956522,631,0.4090909090909091
U0037,11,25.0,4.0,0.6324555320336759,11,2.272727272727273,2024-02-10 18:24:00,2024-12-22 15:59:00,575,1.0443037974683544,23,23,28.39130434782609,21,4,4,20.417391304347824,20,1,3,False,0.0434782608695652,1194,0.5238095238095238
U0038,9,25.0,3.4444444444444446,1.1303883305208782,9,2.7777777777777777,2024-01-22 12:25:00,2024-10-31 21:15:00,626,0.9507042253521126,30,30,29.03333333333333,27,4,3,23.910000000000004,54,1,1,False,0.782608695652174,1103,0.3333333333333333
U0039,9,20.0,3.555555555555556,1.130388330520878,9,2.2222222222222223,2024-01-19 02:22:00,2024-11-20 09:54:00,607,0.8794788273615636,23,21,24.43478260869565,22,4,2,19.430434782608696,24,0,0,True,0.1304347826086956,1131,0.4090909090909091
U0040,7,15.0,3.2857142857142856,1.2535663410560174,7,2.142857142857143,2024-01-07 20:40:00,2024-10-13 23:38:00,644,0.7473309608540925,30,30,34.13333333333333,27,6,3,25.840000000000003,38,2,0,False,0.4347826086956521,1207,0.2592592592592592
U0041,10,23.0,3.8,0.9189365834726816,10,2.3,2024-03-05 19:58:00,2024-12-13 22:31:00,583,1.056338028169014,24,23,26.83333333333333,22,3,4,20.25,26,1,2,False,0.1739130434782608,611,0.4545454545454545
U0042,7,20.0,4.142857142857143,0.690065559342354,7,2.857142857142857,2024-02-09 05:38:00,2024-10-24 07:12:00,634,0.8108108108108109,30,30,32.333333333333336,29,3,7,25.100000000000005,56,1,2,False,0.8260869565217391,1175,0.2413793103448276
U0043,14,31.0,4.0,1.2403473458920844,14,2.2142857142857144,2024-02-13 06:57:00,2024-12-25 03:57:00,572,1.3291139240506329,27,27,28.185185185185187,23,8,4,22.75555555555556,35,0,4,False,0.3695652173913043,1154,0.6086956521739131
U0044,4,6.0,3.75,0.9574271077563382,4,1.5,2024-09-07 13:15:00,2024-11-18 22:18:00,608,1.6438356164383563,30,30,30.966666666666665,28,5,4,24.89,21,1,9,False,0.0652173913043478,1191,0.1428571428571428
U0045,9,21.0,4.222222222222222,0.8333333333333334,9,2.333333333333333,2024-02-06 18:58:00,2024-12-08 09:12:00,589,0.8823529411764707,30,30,31.33333333333333,29,10,2,26.2,42,0,4,False,0.5217391304347826,869,0.3103448275862069
U0046,9,21.0,3.4444444444444446,1.0137937550497031,9,2.333333333333333,2024-01-31 08:13:00,2024-11-01 05:36:00,626,0.981818181818182,38,37,21.31578947368421,35,8,1,26.394736842105264,31,0,6,False,0.2826086956521739,992,0.2571428571428571
U0047,7,19.0,3.857142857142857,0.8997354108424372,7,2.7142857142857144,2024-03-07 14:23:00,2024-09-14 19:31:00,674,1.09375,40,40,33.075,35,9,5,30.7225,26,2,3,False,0.1739130434782608,980,0.2
U0048,8,18.0,3.875,1.1259916264596033,8,2.25,2024-02-28 02:40:00,2024-12-30 14:10:00,567,0.7817589576547231,25,25,29.0,24,6,3,22.2,43,0,6,False,0.5434782608695652,662,0.3333333333333333
U0049,11,31.0,3.363636363636364,1.2060453783110543,11,2.8181818181818183,2024-01-03 15:46:00,2024-12-20 08:26:00,577,0.9375,37,36,19.91891891891892,35,4,7,24.87567567567568,19,0,7,False,0.0217391304347826,1288,0.3142857142857143
U0050,9,21.0,3.0,0.8660254037844387,9,2.333333333333333,2024-01-12 10:19:00,2024-12-29 05:36:00,568,0.7670454545454546,34,34,27.44117647058824,33,4,7,25.83235294117647,37,2,6,False,0.4130434782608695,1224,0.2727272727272727
U0051,6,15.0,3.8333333333333335,1.1690451944500122,6,2.5,2024-02-14 02:33:00,2024-10-24 13:48:00,634,0.7086614173228346,32,32,31.46875,30,6,4,26.240625,45,2,8,True,0.5869565217391305,938,0.2
U0052,8,19.0,3.75,1.3887301496588274,8,2.375,2024-01-17 11:49:00,2024-11-13 17:49:00,614,0.794701986754967,31,30,28.0,26,4,4,23.7,64,1,6,False,1.0,1074,0.3076923076923077
U0053,9,18.0,3.0,1.4142135623730951,9,2.0,2024-01-17 02:30:00,2024-12-01 00:51:00,596,0.8463949843260189,27,27,23.925925925925927,26,2,9,20.87777777777778,24,1,4,False,0.1304347826086956,881,0.3461538461538461
U0054,10,23.0,3.6,1.1737877907772671,7,2.3,2024-01-01 23:32:00,2024-12-17 06:19:00,580,0.8547008547008548,37,37,26.27027027027027,32,9,3,27.18108108108108,61,0,1,False,0.9347826086956522,744,0.21875
U0055,9,20.0,3.333333333333333,1.3228756555322954,9,2.2222222222222223,2024-02-23 13:19:00,2024-12-23 20:28:00,574,0.8852459016393444,40,40,28.2,34,7,8,28.66,25,0,1,True,0.1521739130434782,927,0.2647058823529412
U0056,9,23.0,4.111111111111111,0.7817359599705717,9,2.555555555555556,2024-02-23 14:39:00,2024-09-07 15:51:00,681,1.3636363636363638,37,37,22.83783783783784,34,4,6,25.551351351351357,64,0,2,True,1.0,581,0.2647058823529412
U0057,8,22.0,3.5,0.9258200997725514,7,2.75,2024-01-01 20:07:00,2024-11-22 10:52:00,605,0.7361963190184049,29,29,42.206896551724135,29,1,5,27.36206896551724,52,1,3,False,0.7391304347826086,1033,0.2413793103448276
U0058,14,43.0,3.071428571428572,1.1411388181101378,14,3.071428571428572,2024-01-04 17:19:00,2024-11-22 20:48:00,605,1.2962962962962965,27,27,26.25925925925926,24,5,4,21.77777777777778,31,1,3,False,0.2826086956521739,607,0.5833333333333334
U0059,9,25.0,4.111111111111111,0.6009252125773318,9,2.7777777777777777,2024-03-05 08:56:00,2024-11-28 18:19:00,599,1.003717472118959,36,35,32.833333333333336,33,7,2,28.65,34,1,8,False,0.3478260869565217,979,0.2727272727272727
U0060,9,22.0,3.6666666666666665,0.8660254037844386,8,2.4444444444444446,2024-02-20 01:32:00,2024-10-26 23:40:00,631,1.0799999999999998,34,34,35.529411764705884,33,6,5,28.65882352941177,53,1,4,False,0.7608695652173914,1213,0.2424242424242424
U0061,18,41.0,3.8333333333333335,1.0981267472114395,18,2.2777777777777777,2024-01-14 23:44:00,2024-12-14 22:13:00,582,1.611940298507463,34,34,32.205882352941174,31,3,5,26.66176470588235,57,0,2,False,0.8478260869565217,979,0.5806451612903226
U0062,6,14.0,4.5,0.8366600265340756,6,2.333333333333333,2024-02-08 18:02:00,2024-10-20 21:09:00,637,0.703125,33,33,25.51515151515152,31,3,2,24.354545454545452,21,1,7,False,0.0652173913043478,1186,0.1935483870967742
U0063,13,29.0,3.4615384615384617,1.0500305245868342,11,2.230769230769231,2024-01-01 20:39:00,2024-11-28 10:32:00,599,1.1746987951807228,28,28,27.607142857142858,28,5,4,23.28214285714286,19,0,3,False,0.0217391304347826,1046,0.3928571428571428
U0064,12,35.0,4.083333333333333,0.6685579234215215,12,2.9166666666666665,2024-01-21 23:25:00,2024-12-04 21:33:00,592,1.1320754716981132,27,27,16.703703703703702,27,9,4,20.31111111111111,23,1,1,False,0.108695652173913,914,0.4444444444444444
U0065,10,27.0,4.2,0.6324555320336758,10,2.7,2024-01-18 09:39:00,2024-12-10 08:18:00,587,0.9174311926605504,35,35,29.714285714285715,34,2,4,26.614285714285717,59,0,6,True,0.8913043478260869,1290,0.2941176470588235
U0066,7,15.0,3.857142857142857,0.8997354108424372,7,2.142857142857143,2024-02-06 21:19:00,2024-12-24 03:40:00,573,0.6521739130434783,34,33,17.735294117647058,32,3,7,22.52058823529412,21,1,6,False,0.0652173913043478,838,0.21875
U0067,7,19.0,3.7142857142857135,1.4960264830861911,7,2.7142857142857144,2024-01-31 12:55:00,2024-12-08 16:39:00,589,0.6709265175718849,33,33,34.39393939393939,32,5,2,27.618181818181817,46,0,2,False,0.6086956521739131,1213,0.21875
U0068,12,27.0,4.166666666666667,0.8348471099367218,12,2.25,2024-01-03 14:30:00,2024-12-22 04:17:00,575,1.0169491525423728,28,27,26.428571428571427,26,6,5,22.728571428571428,35,0,4,False,0.3695652173913043,1089,0.4615384615384615
U0069,5,12.0,4.0,1.224744871391589,5,2.4,2024-02-29 14:32:00,2024-10-05 13:08:00,653,0.684931506849315,36,36,24.72222222222222,31,6,4,25.616666666666664,43,0,4,False,0.5434782608695652,907,0.1612903225806451
U0070,9,19.0,3.555555555555556,0.8819171036881968,9,2.111111111111111,2024-02-21 23:28:00,2024-10-27 04:49:00,631,1.0843373493975903,14,14,26.571428571428573,14,0,2,14.971428571428572,61,1,9,False,0.9347826086956522,983,0.6428571428571429
U0071,11,22.0,4.0,0.8944271909999159,10,2.0,2024-03-03 19:27:00,2024-11-27 20:40:00,600,1.2222222222222223,24,24,29.375,23,3,3,21.2125,51,1,5,False,0.717391304347826,1275,0.4347826086956521
U0072,9,22.0,3.888888888888889,0.927960727138337,9,2.4444444444444446,2024-01-01 20:33:00,2024-12-26 15:33:00,571,0.75,38,38,24.605263157894736,34,5,3,26.58157894736842,27,0,3,True,0.1956521739130435,887,0.2647058823529412
U0073,15,43.0,3.933333333333333,1.0327955589886444,15,2.8666666666666667,2024-01-03 16:12:00,2024-12-27 03:30:00,570,1.2534818941504178,30,30,25.933333333333334,28,5,5,23.380000000000003,53,0,4,False,0.7608695652173914,782,0.5357142857142857
U0074,9,23.0,3.4444444444444446,1.5898986690282426,9,2.555555555555556,2024-01-01 11:53:00,2024-10-15 01:44:00,643,0.9375,27,27,31.55555555555556,26,7,3,24.166666666666664,31,1,1,False,0.2826086956521739,1170,0.3461538461538461
U0075,11,31.0,3.090909090909091,1.2210278829367869,11,2.8181818181818183,2024-01-02 10:41:00,2024-12-27 12:09:00,570,0.9141274238227148,20,20,32.45,19,2,1,19.935,48,0,2,False,0.6521739130434783,597,0.5789473684210527
U0076,8,21.0,3.625,1.5059406173077154,8,2.625,2024-02-01 05:56:00,2024-11-28 19:50:00,599,0.794701986754967,31,31,30.0,31,5,2,25.5,32,1,7,True,0.3043478260869565,1283,0.2580645161290322
U0077,8,25.0,4.125,0.8345229603962802,8,3.125,2024-01-14 03:29:00,2024-11-07 00:52:00,620,0.8053691275167785,25,25,27.08,23,4,2,21.024,25,1,9,False,0.1521739130434782,1285,0.3478260869565217
U0078,11,27.0,3.272727272727273,1.2720777563426766,11,2.4545454545454546,2024-01-07 12:06:00,2024-12-14 18:43:00,583,0.9620991253644314,31,31,25.90322580645161,30,4,4,23.870967741935484,31,0,0,True,0.2826086956521739,1210,0.3666666666666666
U0079,7,20.0,3.7142857142857135,0.951189731211342,7,2.857142857142857,2024-03-13 09:50:00,2024-12-28 19:28:00,569,0.7216494845360826,28,28,22.035714285714285,27,3,5,21.01071428571429,40,0,8,False,0.4782608695652174,773,0.2592592592592592
U0080,13,31.0,3.615384615384616,1.2608503439122305,13,2.3846153846153846,2024-01-08 20:52:00,2024-12-28 11:14:00,569,1.0985915492957743,25,25,23.68,25,2,4,20.004,57,2,7,False,0.8478260869565217,760,0.52
U0081,12,29.0,3.4166666666666665,1.0836246694508316,11,2.4166666666666665,2024-02-21 17:36:00,2024-12-26 02:53:00,571,1.1650485436893203,30,30,32.733333333333334,26,4,3,24.82,38,0,0,False,0.4347826086956521,996,0.4230769230769231
U0082,5,12.0,4.4,0.5477225575051661,5,2.4,2024-01-02 01:38:00,2024-10-06 12:18:00,652,0.5376344086021505,29,29,28.517241379310345,28,2,2,23.255172413793105,33,0,6,False,0.3260869565217391,1054,0.1785714285714285
U0083,9,19.0,3.888888888888889,0.927960727138337,9,2.111111111111111,2024-02-18 07:09:00,2024-12-07 00:34:00,590,0.9215017064846416,27,27,22.296296296296298,24,5,2,20.58888888888889,62,1,8,False,0.9565217391304348,1175,0.375
U0084,12,31.0,4.0,1.044465935734187,12,2.583333333333333,2024-01-23 08:38:00,2024-11-12 22:24:00,614,1.220338983050847,43,43,28.13953488372093,39,6,5,30.34186046511628,35,2,3,True,0.3695652173913043,1150,0.3076923076923077
U0085,10,23.0,4.4,0.6992058987801008,9,2.3,2024-01-07 00:30:00,2024-12-18 01:46:00,579,0.8645533141210375,27,27,27.11111111111111,26,3,4,22.03333333333333,64,2,1,True,1.0,730,0.3461538461538461
U0086,7,19.0,4.142857142857143,0.6900655593423543,7,2.7142857142857144,2024-01-03 18:27:00,2024-11-28 18:21:00,599,0.6363636363636364,34,34,23.676470588235293,32,4,5,24.502941176470586,41,1,8,False,0.5,941,0.21875
U0087,10,28.0,3.3,1.2516655570345725,10,2.8,2024-01-17 13:46:00,2024-11-24 15:05:00,603,0.9584664536741214,31,31,31.387096774193548,30,1,3,24.916129032258063,43,0,5,False,0.5434782608695652,612,0.3333333333333333
U0088,7,14.0,3.4285714285714284,1.8126539343499315,7,2.0,2024-03-10 00:08:00,2024-12-29 05:26:00,568,0.711864406779661,35,35,28.65714285714286,32,5,3,26.49714285714285,42,0,0,False,0.5217391304347826,666,0.21875
U0089,8,19.0,3.75,1.2817398889233114,8,2.375,2024-05-04 09:00:00,2024-12-28 08:48:00,569,1.0084033613445378,33,33,27.818181818181817,30,7,4,25.64545454545454,62,1,3,False,0.9565217391304348,988,0.2666666666666666
U0090,13,33.0,4.153846153846154,0.6887372317211944,13,2.5384615384615383,2024-03-04 08:30:00,2024-12-11 03:47:00,586,1.3829787234042552,27,27,35.666666666666664,25,3,1,24.4,58,1,5,True,0.8695652173913043,602,0.52
U0091,9,23.0,3.888888888888889,0.927960727138337,9,2.555555555555556,2024-01-08 08:59:00,2024-12-21 17:45:00,576,0.7736389684813754,26,25,35.26923076923077,24,3,3,23.78076923076923,46,0,6,False,0.6086956521739131,1009,0.375
U0092,5,15.0,3.6,1.140175425099138,5,3.0,2024-03-11 09:20:00,2024-09-08 21:15:00,679,0.8241758241758242,38,38,33.13157894736842,34,7,3,29.539473684210524,32,2,5,False,0.3043478260869565,990,0.1470588235294117
U0093,9,28.0,3.6666666666666665,1.0,9,3.111111111111111,2024-01-03 01:38:00,2024-11-26 15:17:00,601,0.8206686930091185,29,29,35.96551724137931,26,4,5,25.48965517241379,62,0,9,False,0.9565217391304348,703,0.3461538461538461
U0094,9,26.0,3.555555555555556,0.8819171036881968,9,2.888888888888889,2024-01-03 15:27:00,2024-11-04 06:51:00,623,0.8823529411764707,31,31,34.16129032258065,29,2,5,25.74838709677419,18,1,9,False,0.0,574,0.3103448275862069
U0095,15,41.0,4.133333333333334,0.833809387832792,15,2.7333333333333334,2024-01-28 03:04:00,2024-12-21 03:15:00,576,1.3677811550151977,29,28,31.55172413793104,27,2,7,23.96551724137931,42,0,2,False,0.5217391304347826,635,0.5555555555555556
U0096,17,34.0,3.941176470588236,0.8269362305593853,17,2.0,2024-02-07 19:52:00,2024-11-14 04:09:00,613,1.8149466192170816,44,44,30.772727272727277,37,6,8,31.03181818181818,24,1,7,False,0.1304347826086956,748,0.4594594594594595
U0097,10,24.0,3.2,1.3984117975602022,9,2.4,2024-01-15 20:00:00,2024-11-23 16:43:00,604,0.9584664536741214,25,25,19.88,22,3,2,18.464,26,0,7,True,0.1739130434782608,945,0.4090909090909091
U0098,9,22.0,3.6666666666666665,1.118033988749895,9,2.4444444444444446,2024-03-23 15:14:00,2024-12-06 15:16:00,591,1.0424710424710426,30,30,27.433333333333334,27,5,3,23.630000000000003,41,0,3,True,0.5,985,0.3333333333333333
U0099,7,19.0,3.857142857142857,1.4638501094227998,7,2.7142857142857144,2024-01-25 21:05:00,2024-10-26 13:33:00,632,0.7636363636363637,29,29,34.86206896551724,26,6,3,25.55862068965517,18,0,6,False,0.0,1238,0.2692307692307692
U0100,11,31.0,3.363636363636364,1.026910636104941,11,2.8181818181818183,2024-01-25 16:55:00,2024-12-01 17:49:00,596,1.0576923076923077,34,34,24.676470588235293,32,5,1,25.002941176470586,61,1,4,False,0.9347826086956522,654,0.34375
U0101,13,34.0,3.692307692307693,0.947330933431342,13,2.6153846153846154,2024-01-08 11:11:00,2024-12-10 09:08:00,587,1.1572700296735905,31,31,27.64516129032258,30,5,5,24.59354838709677,25,1,9,True,0.1521739130434782,583,0.4333333333333333
U0102,10,28.0,3.6,0.6992058987801011,10,2.8,2024-02-15 23:21:00,2024-11-12 06:24:00,615,1.1070110701107012,33,33,34.63636363636363,31,6,4,27.690909090909088,41,1,3,False,0.5,1262,0.3225806451612903
U0103,8,19.0,4.25,0.462910049886276,8,2.375,2024-05-09 20:10:00,2024-12-21 21:47:00,575,1.0572687224669604,23,23,31.043478260869566,23,2,4,21.213043478260868,28,2,4,False,0.217391304347826,852,0.3478260869565217
U0104,13,26.0,3.615384615384616,1.12089707663561,13,2.0,2024-01-21 18:18:00,2024-12-29 09:30:00,568,1.1370262390670554,32,32,26.3125,29,4,3,24.09375,34,0,7,False,0.3478260869565217,1204,0.4482758620689655
U0105,12,26.0,3.75,1.1381803659589922,12,2.1666666666666665,2024-01-11 01:32:00,2024-12-14 17:05:00,583,1.0619469026548671,23,23,38.34782608695652,23,4,2,23.80434782608696,25,0,2,False,0.1521739130434782,1090,0.5217391304347826
U0106,9,19.0,2.6666666666666665,1.3228756555322951,9,2.111111111111111,2024-02-16 10:06:00,2024-11-22 04:50:00,605,0.9642857142857142,39,39,28.153846153846157,36,10,6,29.346153846153843,52,1,5,False,0.7391304347826086,944,0.25
U0107,14,35.0,4.214285714285714,0.6992932067530679,14,2.5,2024-01-11 15:14:00,2024-12-09 21:19:00,587,1.25748502994012,31,31,28.774193548387096,30,4,2,24.732258064516127,52,0,9,False,0.7391304347826086,965,0.4666666666666667
U0108,5,10.0,4.4,0.5477225575051661,5,2.0,2024-01-30 17:06:00,2024-11-16 10:14:00,611,0.5154639175257733,34,34,31.61764705882353,31,4,6,26.685294117647057,50,2,3,True,0.6956521739130435,572,0.1612903225806451
U0109,15,41.0,3.8666666666666663,0.990430401872025,14,2.7333333333333334,2024-02-06 21:38:00,2024-12-25 13:46:00,572,1.393188854489164,24,24,31.0,22,3,2,21.5,22,0,8,False,0.0869565217391304,1138,0.6363636363636364
U0110,10,30.0,3.7,0.674948557710553,10,3.0,2024-02-10 03:21:00,2024-12-02 18:41:00,595,1.0101010101010102,26,26,30.615384615384617,24,3,5,22.384615384615387,59,2,4,False,0.8913043478260869,1273,0.4166666666666667
U0111,14,35.0,4.0,1.1094003924504583,14,2.5,2024-01-27 18:04:00,2024-12-21 13:53:00,576,1.2765957446808511,29,29,35.86206896551724,27,4,2,25.658620689655173,56,0,5,False,0.8260869565217391,893,0.5185185185185185
