transaction_id,user_id,product_id,quantity,rating,timestamp,payment_method,date,hour,day_of_week,month
T000059,U0141,P0029,4.0,4.0,2024-06-12 21:35:00,COD,2024-06-12,21,2,6
T000060,U0387,P0091,1.0,4.0,2024-12-06 09:05:00,Credit Card,2024-12-06,9,4,12
T000061,U0460,P0052,2.0,2.0,2024-07-20 17:48:00,UPI,2024-07-20,17,5,7
T000062,U0430,P0176,2.0,5.0,2024-10-02 03:34:00,Credit Card,2024-10-02,3,2,10
T000063,U0067,P0143,2.0,5.0,2024-10-05 16:01:00,Debit Card,2024-10-05,16,5,10
T000064,U0458,P0165,3.0,5.0,2024-01-08 22:29:00,Credit Card,2024-01-08,22,0,1
T000065,U0313,P0087,4.0,4.0,2024-02-28 05:39:00,Net Banking,2024-02-28,5,2,2
T000066,U0306,P0091,2.0,5.0,2024-07-10 23:39:00,Net Banking,2024-07-10,23,2,7
T000067,U0009,P0147,2.0,3.0,2024-03-07 21:57:00,Credit Card,2024-03-07,21,3,3
T000068,U0234,P0145,4.0,1.0,2024-11-28 23:03:00,Debit Card,2024-11-28,23,3,11
T000069,U0165,P0024,2.0,4.0,2024-12-05 01:16:00,Credit Card,2024-12-05,1,3,12
T000070,U0035,P0195,1.0,4.0,2024-09-08 18:43:00,Credit Card,2024-09-08,18,6,9
T000071,U0011,P0123,4.0,2.0,2024-04-02 01:10:00,UPI,2024-04-02,1,1,4
T000072,U0380,P0054,1.0,2.0,2024-03-28 11:15:00,Debit Card,2024-03-28,11,3,3
T000073,U0117,P0170,1.0,3.0,2024-06-02 09:14:00,COD,2024-06-02,9,6,6
T000074,U0455,P0120,3.0,4.0,2024-10-27 02:48:00,UPI,2024-10-27,2,6,10
T000075,U0120,P0056,4.0,4.0,2024-11-30 13:54:00,Credit Card,2024-11-30,13,5,11
T000076,U0054,P0085,2.0,3.0,2024-10-16 15:39:00,UPI,2024-10-16,15,2,10
T000077,U0429,P0152,4.0,2.0,2024-10-09 11:38:00,Net Banking,2024-10-09,11,2,10
T000078,U0494,P0099,4.0,5.0,2024-09-26 07:45:00,UPI,2024-09-26,7,3,9
T000079,U0022,P0089,1.0,4.0,2024-12-12 07:19:00,Net Banking,2024-12-12,7,3,12
T000080,U0492,P0180,3.0,4.0,2024-03-22 00:16:00,UPI,2024-03-22,0,4,3
T000081,U0439,P0015,2.0,5.0,2024-06-11 21:26:00,Net Banking,2024-06-11,21,1,6
T000082,U0307,P0096,4.0,3.0,2024-03-17 13:00:00,Credit Card,2024-03-17,13,6,3
T000083,U0462,P0131,4.0,4.0,2024-06-28 08:20:00,UPI,2024-06-28,8,4,6
T000084,U0316,P0016,2.0,5.0,2024-04-29 09:36:00,UPI,2024-04-29,9,0,4
T000085,U0374,P0105,1.0,3.0,2024-11-07 00:45:00,Credit Card,2024-11-07,0,3,11
T000086,U0210,P0107,3.0,4.0,2024-01-30 20:40:00,UPI,2024-01-30,20,1,1
T000087,U0124,P0162,2.0,4.0,2024-06-16 15:15:00,UPI,2024-06-16,15,6,6
T000088,U0236,P0164,4.0,4.0,2024-04-25 18:13:00,Net Banking,2024-04-25,18,3,4
T000089,U0256,P0115,1.0,3.0,2024-02-10 20:07:00,COD,2024-02-10,20,5,2
T000090,U0400,P0153,2.0,4.0,2024-11-12 11:07:00,Credit Card,2024-11-12,11,1,11
T000092,U0105,P0161,4.0,2.0,2024-02-28 12:43:00,UPI,2024-02-28,12,2,2
T000093,U0250,P0189,3.0,4.0,2024-11-25 23:06:00,UPI,2024-11-25,23,0,11
T000094,U0446,P0102,2.0,5.0,2024-02-19 04:17:00,UPI,2024-02-19,4,0,2
T000095,U0466,P0068,4.0,3.0,2024-11-14 20:09:00,COD,2024-11-14,20,3,11
T000096,U0041,P0073,2.0,4.0,2024-09-13 08:47:00,Credit Card,2024-09-13,8,4,9
T000097,U0075,P0095,1.0,5.0,2024-11-03 21:22:00,Debit Card,2024-11-03,21,6,11
T000098,U0353,P0046,4.0,1.0,2024-05-21 12:06:00,Credit Card,2024-05-21,12,1,5
T000099,U0250,P0181,3.0,3.0,2024-03-23 07:47:00,UPI,2024-03-23,7,5,3
T000100,U0228,P0002,4.0,2.0,2024-02-24 00:21:00,UPI,2024-02-24,0,5,2
T000101,U0063,P0075,4.0,3.0,2024-09-22 09:44:00,UPI,2024-09-22,9,6,9
T000102,U0102,P0015,4.0,4.0,2024-08-17 05:06:00,UPI,2024-08-17,5,5,8
T000103,U0026,P0165,1.0,3.0,2024-07-15 01:21:00,Net Banking,2024-07-15,1,0,7
T000104,U0022,P0063,1.0,3.0,2024-10-06 20:57:00,Debit Card,2024-10-06,20,6,10
T000105,U0385,P0013,1.0,2.0,2024-03-05 14:06:00,Debit Card,2024-03-05,14,1,3
T000106,U0073,P0125,1.0,3.0,2024-01-19 17:50:00,Credit Card,2024-01-19,17,4,1
T000107,U0043,P0152,3.0,2.0,2024-12-08 02:51:00,Debit Card,2024-12-08,2,6,12
T000108,U0465,P0052,1.0,5.0,2024-06-19 04:26:00,Credit Card,2024-06-19,4,2,6
T000109,U0133,P0063,2.0,1.0,2024-06-18 23:07:00,Debit Card,2024-06-18,23,1,6
T000110,U0335,P0178,3.0,5.0,2024-12-30 22:02:00,UPI,2024-12-30,22,0,12
T000111,U0355,P0090,4.0,2.0,2024-12-08 22:59:00,UPI,2024-12-08,22,6,12
T000112,U0256,P0063,4.0,4.0,2024-07-19 16:56:00,Net Banking,2024-07-19,16,4,7
T000113,U0122,P0184,1.0,4.0,2024-11-25 13:45:00,Credit Card,2024-11-25,13,0,11
T000114,U0032,P0015,2.0,2.0,2024-04-25 12:16:00,UPI,2024-04-25,12,3,4
T000115,U0248,P0037,4.0,5.0,2024-09-27 11:10:00,Credit Card,2024-09-27,11,4,9
T000116,U0423,P0184,2.0,2.0,2024-07-09 08:15:00,Credit Card,2024-07-09,8,1,7
T000117,U0023,P0184,4.0,1.0,2024-10-18 22:13:00,Debit Card,2024-10-18,22,4,10
T000118,U0142,P0082,2.0,4.0,2024-06-22 09:32:00,Debit Card,2024-06-22,9,5,6
T000119,U0223,P0152,3.0,5.0,2024-04-09 23:29:00,Debit Card,2024-04-09,23,1,4
T000120,U0179,P0053,4.0,4.0,2024-07-12 07:23:00,Credit Card,2024-07-12,7,4,7
T000121,U0198,P0072,3.0,5.0,2024-06-03 03:13:00,Credit Card,2024-06-03,3,0,6
T000122,U0273,P0193,4.0,3.0,2024-08-11 12:42:00,Credit Card,2024-08-11,12,6,8
T000123,U0005,P0044,1.0,4.0,2024-05-09 02:24:00,UPI,2024-05-09,2,3,5
T000124,U0483,P0001,4.0,5.0,2024-11-27 22:53:00,Credit Card,2024-11-27,22,2,11
T000125,U0268,P0130,1.0,4.0,2024-11-25 08:32:00,UPI,2024-11-25,8,0,11
T000126,U0297,P0159,4.0,4.0,2024-08-19 20:34:00,Debit Card,2024-08-19,20,0,8
T000127,U0446,P0198,3.0,3.0,2024-05-19 15:33:00,COD,2024-05-19,15,6,5
T000128,U0348,P0126,4.0,5.0,2024-08-05 09:23:00,Credit Card,2024-08-05,9,0,8
T000129,U0041,P0173,1.0,4.0,2024-08-08 06:40:00,Credit Card,2024-08-08,6,3,8
T000130,U0165,P0005,1.0,4.0,2024-04-16 07:46:00,COD,2024-04-16,7,1,4
T000131,U0195,P0184,3.0,3.0,2024-04-26 19:49:00,Debit Card,2024-04-26,19,4,4
T000132,U0485,P0196,3.0,4.0,2024-09-29 00:57:00,Debit Card,2024-09-29,0,6,9
T000134,U0211,P0099,2.0,2.0,2024-09-02 10:22:00,UPI,2024-09-02,10,0,9
T000135,U0354,P0179,2.0,2.0,2024-07-29 17:13:00,Debit Card,2024-07-29,17,0,7
T000136,U0410,P0031,2.0,4.0,2024-10-31 01:47:00,UPI,2024-10-31,1,3,10
T000137,U0235,P0148,2.0,5.0,2024-11-16 16:06:00,Credit Card,2024-11-16,16,5,11
T000138,U0427,P0052,1.0,1.0,2024-03-12 12:01:00,Net Banking,2024-03-12,12,1,3
T000139,U0485,P0118,4.0,3.0,2024-02-21 22:18:00,UPI,2024-02-21,22,2,2
T000140,U0375,P0063,2.0,3.0,2024-10-17 20:03:00,UPI,2024-10-17,20,3,10
T000141,U0159,P0069,1.0,3.0,2024-01-10 17:53:00,Debit Card,2024-01-10,17,2,1
T000142,U0189,P0135,4.0,2.0,2024-03-14 07:16:00,UPI,2024-03-14,7,3,3
T000143,U0335,P0128,3.0,4.0,2024-01-22 11:14:00,Debit Card,2024-01-22,11,0,1
T000144,U0122,P0114,2.0,2.0,2024-09-17 00:25:00,UPI,2024-09-17,0,1,9
T000145,U0100,P0030,4.0,2.0,2024-04-01 15:12:00,UPI,2024-04-01,15,0,4
T000146,U0148,P0103,2.0,4.0,2024-04-29 09:03:00,Debit Card,2024-04-29,9,0,4
T000147,U0076,P0028,3.0,2.0,2024-08-21 22:43:00,Credit Card,2024-08-21,22,2,8
T000148,U0403,P0115,4.0,3.0,2024-04-06 17:03:00,Debit Card,2024-04-06,17,5,4
T000149,U0333,P0142,3.0,5.0,2024-03-13 18:14:00,Debit Card,2024-03-13,18,2,3
T000150,U0168,P0069,2.0,5.0,2024-11-02 17:19:00,UPI,2024-11-02,17,5,11
T000151,U0471,P0001,2.0,4.0,2024-07-04 05:11:00,COD,2024-07-04,5,3,7
T000152,U0390,P0148,1.0,4.0,2024-10-25 13:07:00,Credit Card,2024-10-25,13,4,10
T000153,U0178,P0152,3.0,4.0,2024-12-17 06:46:00,Debit Card,2024-12-17,6,1,12
T000154,U0347,P0033,3.0,4.0,2024-08-08 09:54:00,Debit Card,2024-08-08,9,3,8
T000155,U0494,P0125,3.0,4.0,2024-03-25 15:34:00,COD,2024-03-25,15,0,3
T000156,U0127,P0192,1.0,4.0,2024-03-10 17:19:00,UPI,2024-03-10,17,6,3
T000157,U0030,P0124,2.0,3.0,2024-08-07 20:35:00,Debit Card,2024-08-07,20,2,8
T000158,U0181,P0166,1.0,5.0,2024-05-09 05:58:00,Credit Card,2024-05-09,5,3,5
T000159,U0199,P0119,3.0,3.0,2024-10-13 12:27:00,Credit Card,2024-10-13,12,6,10
T000160,U0475,P0072,3.0,4.0,2024-01-30 11:35:00,COD,2024-01-30,11,1,1
T000161,U0185,P0179,1.0,3.0,2024-03-10 11:50:00,Debit Card,2024-03-10,11,6,3
T000162,U0313,P0079,2.0,4.0,2024-11-06 04:11:00,COD,2024-11-06,4,2,11
T000163,U0001,P0100,2.0,4.0,2024-10-09 08:07:00,Net Banking,2024-10-09,8,2,10
T000164,U0406,P0175,4.0,3.0,2024-04-27 14:53:00,Debit Card,2024-04-27,14,5,4
T000165,U0230,P0035,1.0,1.0,2024-09-23 08:03:00,Debit Card,2024-09-23,8,0,9
T000166,U0328,P0003,1.0,4.0,2024-09-21 00:57:00,UPI,2024-09-21,0,5,9
T000167,U0272,P0001,3.0,5.0,2024-11-19 03:47:00,Debit Card,2024-11-19,3,1,11
T000168,U0316,P0077,1.0,3.0,2024-12-15 07:53:00,Net Banking,2024-12-15,7,6,12
T000169,U0298,P0175,3.0,4.0,2024-04-04 03:20:00,COD,2024-04-04,3,3,4
T000170,U0412,P0175,4.0,4.0,2024-08-07 11:02:00,Debit Card,2024-08-07,11,2,8
T000171,U0178,P0196,1.0,4.0,2024-05-12 14:40:00,Credit Card,2024-05-12,14,6,5
T000172,U0306,P0169,1.0,1.0,2024-03-26 06:58:00,COD,2024-03-26,6,1,3
T000173,U0312,P0026,3.0,3.0,2024-06-02 14:18:00,Debit Card,2024-06-02,14,6,6
T000174,U0386,P0124,4.0,4.0,2024-12-23 03:46:00,Net Banking,2024-12-23,3,0,12
T000175,U0421,P0002,1.0,3.0,2024-06-22 23:51:00,Credit Card,2024-06-22,23,5,6
T000176,U0476,P0100,4.0,4.0,2024-01-19 05:07:00,Net Banking,2024-01-19,5,4,1
T000177,U0113,P0108,3.0,4.0,2024-01-13 13:16:00,Credit Card,2024-01-13,13,5,1
T000178,U0499,P0005,1.0,1.0,2024-09-28 11:02:00,UPI,2024-09-28,11,5,9
T000179,U0369,P0023,2.0,5.0,2024-02-24 05:34:00,Net Banking,2024-02-24,5,5,2
T000180,U0199,P0047,3.0,3.0,2024-04-08 23:02:00,Debit Card,2024-04-08,23,0,4
T000181,U0090,P0195,3.0,4.0,2024-09-03 11:32:00,UPI,2024-09-03,11,1,9
T000182,U0440,P0178,3.0,2.0,2024-07-15 18:58:00,Credit Card,2024-07-15,18,0,7
T000183,U0215,P0061,3.0,4.0,2024-03-05 02:52:00,Net Banking,2024-03-05,2,1,3
T000184,U0456,P0192,1.0,5.0,2024-07-02 19:44:00,Credit Card,2024-07-02,19,1,7
T000185,U0139,P0032,1.0,4.0,2024-07-16 09:05:00,UPI,2024-07-16,9,1,7
T000186,U0181,P0084,1.0,5.0,2024-06-15 17:09:00,Debit Card,2024-06-15,17,5,6
T000187,U0081,P0173,2.0,4.0,2024-11-28 06:19:00,Net Banking,2024-11-28,6,3,11
T000188,U0054,P0093,1.0,1.0,2024-11-28 03:22:00,Credit Card,2024-11-28,3,3,11
T000189,U0101,P0005,3.0,4.0,2024-03-17 00:54:00,UPI,2024-03-17,0,6,3
T000190,U0227,P0192,4.0,4.0,2024-01-15 11:20:00,Net Banking,2024-01-15,11,0,1
T000191,U0261,P0089,4.0,5.0,2024-07-12 23:03:00,UPI,2024-07-12,23,4,7
T000192,U0090,P0049,3.0,5.0,2024-08-24 08:06:00,Credit Card,2024-08-24,8,5,8
T000193,U0216,P0119,1.0,5.0,2024-11-15 01:36:00,Net Banking,2024-11-15,1,4,11
T000194,U0128,P0098,1.0,2.0,2024-12-24 08:41:00,Credit Card,2024-12-24,8,1,12
T000195,U0139,P0168,1.0,1.0,2024-10-17 23:11:00,Net Banking,2024-10-17,23,3,10
T000196,U0200,P0195,4.0,5.0,2024-06-05 23:09:00,Credit Card,2024-06-05,23,2,6
T000197,U0100,P0066,4.0,2.0,2024-04-18 03:40:00,Credit Card,2024-04-18,3,3,4
T000198,U0119,P0029,2.0,4.0,2024-01-27 10:00:00,Debit Card,2024-01-27,10,5,1
T000199,U0249,P0068,2.0,5.0,2024-11-16 08:30:00,Credit Card,2024-11-16,8,5,11
T000200,U0129,P0165,1.0,4.0,2024-08-11 07:06:00,Net Banking,2024-08-11,7,6,8
T000201,U0151,P0101,2.0,3.0,2024-02-03 13:55:00,Credit Card,2024-02-03,13,5,2
T000202,U0027,P0067,3.0,5.0,2024-12-24 07:09:00,Credit Card,2024-12-24,7,1,12
T000203,U0418,P0065,4.0,3.0,2024-09-03 10:24:00,Net Banking,2024-09-03,10,1,9
T000204,U0171,P0008,1.0,4.0,2024-06-01 02:55:00,Credit Card,2024-06-01,2,5,6
T000205,U0380,P0034,3.0,2.0,2024-08-23 12:14:00,COD,2024-08-23,12,4,8
T000206,U0071,P0188,1.0,3.0,2024-05-15 21:48:00,Credit Card,2024-05-15,21,2,5
T000207,U0256,P0023,2.0,5.0,2024-08-22 01:52:00,COD,2024-08-22,1,3,8
T000208,U0032,P0043,3.0,4.0,2024-11-08 10:34:00,UPI,2024-11-08,10,4,11
T000209,U0032,P0052,4.0,5.0,2024-07-10 11:25:00,Net Banking,2024-07-10,11,2,7
T000211,U0409,P0017,3.0,4.0,2024-12-09 10:15:00,COD,2024-12-09,10,0,12
T000212,U0201,P0026,2.0,1.0,2024-03-08 03:01:00,Credit Card,2024-03-08,3,4,3
T000213,U0011,P0018,4.0,4.0,2024-09-15 15:56:00,UPI,2024-09-15,15,6,9
T000214,U0374,P0085,2.0,3.0,2024-03-04 04:04:00,COD,2024-03-04,4,0,3
T000215,U0210,P0002,2.0,1.0,2024-04-20 05:04:00,Net Banking,2024-04-20,5,5,4
T000216,U0365,P0075,1.0,5.0,2024-10-21 07:35:00,UPI,2024-10-21,7,0,10
T000217,U0131,P0129,1.0,4.0,2024-09-24 01:01:00,UPI,2024-09-24,1,1,9
T000218,U0480,P0140,3.0,4.0,2024-09-07 20:46:00,UPI,2024-09-07,20,5,9
T000219,U0358,P0170,2.0,5.0,2024-03-20 13:55:00,Debit Card,2024-03-20,13,2,3
T000220,U0028,P0169,3.0,4.0,2024-08-18 18:45:00,Debit Card,2024-08-18,18,6,8
T000221,U0149,P0125,4.0,5.0,2024-10-31 07:21:00,Credit Card,2024-10-31,7,3,10
T000222,U0423,P0169,1.0,5.0,2024-06-23 14:40:00,COD,2024-06-23,14,6,6
T000223,U0105,P0191,4.0,4.0,2024-01-25 08:51:00,Credit Card,2024-01-25,8,3,1
T000224,U0425,P0060,3.0,5.0,2024-12-30 20:39:00,Net Banking,2024-12-30,20,0,12
T000225,U0338,P0175,2.0,1.0,2024-02-28 23:05:00,Credit Card,2024-02-28,23,2,2
T000226,U0363,P0083,3.0,4.0,2024-08-09 06:19:00,Net Banking,2024-08-09,6,4,8
T000227,U0341,P0079,4.0,2.0,2024-01-21 04:03:00,Credit Card,2024-01-21,4,6,1
T000228,U0124,P0091,1.0,4.0,2024-06-30 03:20:00,Credit Card,2024-06-30,3,6,6
T000229,U0130,P0127,2.0,4.0,2024-06-07 23:48:00,Debit Card,2024-06-07,23,4,6
T000230,U0307,P0128,2.0,4.0,2024-09-30 08:05:00,UPI,2024-09-30,8,0,9
T000231,U0385,P0129,2.0,4.0,2024-05-01 18:41:00,Debit Card,2024-05-01,18,2,5
T000232,U0263,P0117,2.0,4.0,2024-01-29 10:14:00,Debit Card,2024-01-29,10,0,1
T000233,U0325,P0109,3.0,2.0,2024-05-09 13:47:00,Credit Card,2024-05-09,13,3,5
T000235,U0179,P0040,4.0,2.0,2024-09-25 01:03:00,COD,2024-09-25,1,2,9
T000236,U0027,P0062,3.0,4.0,2024-02-26 04:27:00,UPI,2024-02-26,4,0,2
T000237,U0447,P0188,1.0,4.0,2024-09-23 07:46:00,UPI,2024-09-23,7,0,9
T000238,U0002,P0009,3.0,2.0,2024-12-12 21:37:00,Credit Card,2024-12-12,21,3,12
T000239,U0061,P0200,2.0,4.0,2024-08-08 03:58:00,Credit Card,2024-08-08,3,3,8
T000240,U0339,P0050,4.0,4.0,2024-11-14 11:27:00,Debit Card,2024-11-14,11,3,11
T000241,U0272,P0100,3.0,3.0,2024-09-17 01:33:00,UPI,2024-09-17,1,1,9
T000242,U0018,P0021,4.0,3.0,2024-04-09 06:37:00,UPI,2024-04-09,6,1,4
T000243,U0243,P0013,3.0,4.0,2024-01-26 09:38:00,Credit Card,2024-01-26,9,4,1
T000244,U0453,P0092,3.0,4.0,2024-09-11 12:30:00,Debit Card,2024-09-11,12,2,9
T000245,U0449,P0153,3.0,3.0,2024-04-16 13:05:00,UPI,2024-04-16,13,1,4
T000246,U0057,P0070,4.0,5.0,2024-10-01 05:43:00,UPI,2024-10-01,5,1,10
T000247,U0240,P0096,3.0,3.0,2024-08-20 09:58:00,Debit Card,2024-08-20,9,1,8
T000248,U0435,P0170,2.0,5.0,2024-04-21 05:35:00,COD,2024-04-21,5,6,4
T000249,U0402,P0169,3.0,4.0,2024-12-12 17:08:00,Net Banking,2024-12-12,17,3,12
T000250,U0064,P0010,3.0,4.0,2024-01-21 23:25:00,UPI,2024-01-21,23,6,1
T000251,U0461,P0058,3.0,2.0,2024-01-24 06:02:00,Debit Card,2024-01-24,6,2,1
T000252,U0409,P0185,4.0,2.0,2024-06-10 02:33:00,COD,2024-06-10,2,0,6
T000253,U0155,P0089,2.0,5.0,2024-05-11 21:08:00,Net Banking,2024-05-11,21,5,5
T000254,U0104,P0187,4.0,3.0,2024-01-21 18:18:00,Debit Card,2024-01-21,18,6,1
T000255,U0369,P0089,3.0,4.0,2024-04-26 12:32:00,Debit Card,2024-04-26,12,4,4
T000256,U0316,P0192,3.0,4.0,2024-04-12 03:13:00,Debit Card,2024-04-12,3,4,4
T000257,U0407,P0036,1.0,4.0,2024-07-02 08:39:00,COD,2024-07-02,8,1,7
T000258,U0014,P0191,3.0,3.0,2024-12-28 23:33:00,Debit Card,2024-12-28,23,5,12
T000259,U0061,P0195,3.0,4.0,2024-09-10 16:54:00,UPI,2024-09-10,16,1,9
T000260,U0366,P0034,3.0,5.0,2024-05-09 22:12:00,Net Banking,2024-05-09,22,3,5
T000261,U0477,P0009,2.0,4.0,2024-01-26 04:31:00,COD,2024-01-26,4,4,1
T000262,U0464,P0047,3.0,4.0,2024-01-13 11:11:00,UPI,2024-01-13,11,5,1
T000263,U0060,P0128,2.0,2.0,2024-08-27 15:51:00,UPI,2024-08-27,15,1,8
T000264,U0060,P0139,1.0,4.0,2024-02-20 01:32:00,Credit Card,2024-02-20,1,1,2
T000265,U0161,P0007,2.0,4.0,2024-11-28 00:01:00,UPI,2024-11-28,0,3,11
T000266,U0286,P0146,2.0,3.0,2024-12-29 15:51:00,Credit Card,2024-12-29,15,6,12
T000267,U0276,P0198,4.0,4.0,2024-12-20 16:01:00,Debit Card,2024-12-20,16,4,12
T000268,U0410,P0139,4.0,5.0,2024-04-08 12:34:00,COD,2024-04-08,12,0,4
T000269,U0455,P0190,3.0,5.0,2024-03-17 07:37:00,Debit Card,2024-03-17,7,6,3
T000270,U0312,P0039,2.0,2.0,2024-02-21 18:49:00,UPI,2024-02-21,18,2,2
T000271,U0386,P0156,3.0,4.0,2024-03-25 04:07:00,Credit Card,2024-03-25,4,0,3
T000272,U0059,P0147,1.0,4.0,2024-03-05 08:56:00,Net Banking,2024-03-05,8,1,3
T000273,U0378,P0078,2.0,3.0,2024-07-10 11:06:00,Credit Card,2024-07-10,11,2,7
T000274,U0498,P0104,2.0,4.0,2024-12-17 01:55:00,Debit Card,2024-12-17,1,1,12
T000275,U0442,P0139,3.0,4.0,2024-10-02 17:02:00,COD,2024-10-02,17,2,10
